,date,text,is_road_closure
293,2018-09-28 20:25:39,thank you to all our #garedcross volunteer on scene working tirelessly to provide support and canteen service for first responder http twitter com walbnews10 sta tus 1045711164792016897,0
294,2018-09-28 16:16:55,#redcross volunteer don dyksterhouse of n c connie lang of savannah ga survey neighborhood affected by #florence using new it tool the team locates area in need to deploy resource serve more people more quickly in the hardest hit neighborhood thx volunteer pic twitter com 5b7cldltli,0
295,2018-09-28 15:20:25,need still exist and several local organization are focusing their energy on helping out larry brook #redcross of northwest georgia executive director http www northwestgeorgianews com rome news loca l still plenty of way to assist hurricane flooding victim article d90e404e c2af 11e8 9103 6337802e6fc3 html,0
296,2018-09-28 14:58:28,please help if you can at http redcross org georgia or text florence to 90999 to donate 10 from your phone then rt this post #florence #redcross #garedcross pic twitter com dvmslujhjn,0
297,2018-09-27 17:14:02,on september 15 #garedcross service to the armed force veteran volunteer helped host a baby shower in #atlanta for expecting #veterans congrats best wish to all our expecting attendee pic twitter com 3mq0un29x3,0
298,2018-09-26 16:34:50,help is still needed please open your heart and wallet for #florence survivor at http redcross org #redcross #garedcross pic twitter com vm6nsoe0gn,0
299,2018-09-26 14:33:31,konrad williams one of more than 70 #garedcross volunteer currently in north south carolina is near #wilmington doing damage assessment work with fellow #redcross volunteer want to help from home text florence to 90999 to donate 10 #garedcross pic twitter com 70rp8fsq1i,0
300,2018-09-26 14:28:20,#wednesdaywisdom cpr save life while driving melanie noticed a man lying on the sidewalk she pulled over realized he wa in cardiac arrest then her training took over today she stopped by w the man whose life she saved get trained http redcross org georgia pic twitter com 2wharvxbhh,0
301,2018-09-24 15:59:26,tammy franklin will join more than 50 georgia area volunteer already deployed in n s carolina tammy is a nurse brand new to the #redcross a soon a she learned her nursing experience and skill could help #florence survivor she signed on to help thank you tammy pic twitter com ssq4o9diro,0
302,2018-09-24 13:59:42,#garedcross disaster volunteer assisted 8 family this morning following a multi family fire in clayton county along with emotional support they provided assistance for immediate emergency need like lodging and food will continue to work with the family in coming day,0
303,2018-09-24 13:55:08,due to #florence nearly 200 #redcross blood drive were forced to cancel resulting in more than 5 200 uncollected blood and platelet donation please make an appointment to donate and help replenish our nation s blood supply at http redcrossblood org pic twitter com oan0i02dxa,0
304,2018-09-24 13:46:59,learn practice share esther sheppard american red cross of southeast and coastal georgia executive director discus how #redcross help prepare youth in grade 3 5 how to be better prepared for emergency and disaster http fox28media com news local cem a red cross team up to teach kid emergency preparedness,0
305,2018-09-21 20:56:40,#garedcross volunteer were on scene to provide emergency lodging emotional support heath and mental health service for affected resident according to need thank you volunteer http twitter com tiffanywgxa st atus 1043155315208933376,0
306,2018-09-21 14:36:59,thanks for spreading the word about the selfless effort of our #garedcross volunteer http www wtoc com video 2018 09 20 red cross volunteer helping with relief effort #florence #savannah,0
307,2018-09-21 13:50:43,#garedcross disaster volunteer responded to a fire overnight in gwinnett county along with emotional support volunteer provided assistance for immediate emergency need such a lodging food and clothing thank you volunteer,0
308,2018-09-21 13:34:50,#redcross volunteer have been on the ground helping individual and family in area most heavily impacted by #florence if you can please open your and wallet so we can continue helping with life saving relief effort text florence to 90999 to donate 10 #garedcross pic twitter com ackwwgybk7,0
309,2018-09-21 13:28:06,thank you with support like yours we can continue to provide safe shelter food water and emergency supply to #florence victim we are grateful for your help http twitter com wsav status 10 42542317268287488,0
310,2018-09-21 13:26:19,wow congrats and thank you for helping to save life tagging to help answer your question about lapel pin,0
311,2018-09-19 20:14:31,dr joe rosseau a #redcross volunteer from south ga is deploying to #northcarolina to assist in a specialty area public affair thank you for all you do joe pic twitter com bm24ugsbgx,0
312,2018-09-19 20:09:48,what a nice way to help thank you http abc11 com food chick fil a open on sunday to help garner evacuee during florence 4264631 #florence,0
313,2018-09-19 18:28:30,thank you for opening your s to help those affected by #hurricaneflorence we are grateful for your compassion #garedcross http twitter com delta status 1 042438163459919878,0
