,date,text,is_road_closure
1819,2018-09-25 11:07:00,welcome new follower do you know ncdot sends monthly email newsletter with info about road project and improvement closure upcoming meeting where you can be heard and more this will be helpful a recovery from #florencenc begin sign up at http bit ly 2zmunfe pic twitter com 2jjmeaynfk,1
1823,2018-09-24 19:44:16,this afternoon governor cooper announced that interstate 40 ha officially opened however travel to several southeastern county is still not recommended due to flooding and road washout check road closure at http drivenc gov #florencenc pic twitter com etx9wgatpn,1
1839,2018-09-24 12:48:21,open this morning one lane in each direction of u s 70 in kinston please travel with caution in the area for the latest road closure please visit http drivenc gov #florencenc pic twitter com cuzcuqpa1c,1
1840,2018-09-24 03:59:10,assuming you re talking about u s 74 here s a list of current road closure http bit ly 2mtdqql we are still advising driver not to drive in columbus county due to flooding and washed out road and bridge stay safe,1
1841,2018-09-24 03:06:06,i 95 is now open through north carolina motorist should still use caution a hundred of road across the state remain closed and a danger in many area read more at http bit ly 2xxpvk2 latest road condition are available at http bit ly 2hvgppa #florencenc pic twitter com ij2zqvfqdc,1
1844,2018-09-23 16:13:08,hello thanks for contacting u for the most up to date travel information including road closure and available route please visit http drivenc gov stay safe,1
1846,2018-09-23 14:53:01,numerous major route are closed in some section and will continue to change a the flooding continues washed out road and bridge are a threat visit http drivenc gov to check road condition for where you want to go pic twitter com bk7lyuf7no,1
1847,2018-09-23 14:38:56,hello it ha been a rough time for you please be safe and go to http drivenc gov for the most up to date road closure information before traveling,1
1848,2018-09-23 14:06:12,hello for the most up to date travel and road closure information please go to http drivenc gov stay safe,1
1852,2018-09-22 22:13:01,welcome new follower do you know ncdot sends monthly email newsletter with info about road project and improvement closure upcoming meeting where you can be heard and more this will be helpful a recovery from #florencenc begin sign up at http bit ly 2zmunfe pic twitter com gqpqbhwkpk,1
1855,2018-09-22 20:12:41,please go to http drivenc gov and select the highway route or county or region then select the incident tab for a list of current road closure you can also look at the map after selecting a county or route and where you see a yellow diamond for more info,1
1862,2018-09-22 17:10:27,please go to http bit ly 2hvgppa and select the highway route or county or region then select the incident tab for a list of current road closure you can also look at the map after selecting a county or route and where you see a yellow diamond for more info,1
1863,2018-09-22 16:28:58,for road condition and closure we advise that you visit http drivenc gov and use it a a resource to help plan your travel it ha the most up to date information we have available,1
1865,2018-09-22 15:37:23,we have one closure on nc 211 and it s in duplin county http bit ly 2onysxs,1
1866,2018-09-22 15:31:12,this is the list of current closure we have on u s 17 http bit ly 2h32zjp click on the incident tab,1
1867,2018-09-22 15:25:02,for road condition and closure we advise that you visit http drivenc gov and use it a a resource to help plan your travel it ha the latest and most up to date information we have available,1
1868,2018-09-22 15:00:21,numerous major route are closed in some section and will continue to change a the flooding continues washed out road and bridge are a threat visit http drivenc gov to check road condition for where you want to go pic twitter com 0jjfo8px8u,1
1870,2018-09-22 12:09:41,for road condition and closure we advise that you visit http drivenc gov and use it a a resource to help plan your travel it ha the latest and most up to date information we have available stay safe,1
1878,2018-09-21 18:04:19,hi there check out http drivenc gov for the latest traffic condition including road closure,1
1879,2018-09-21 18:00:14,hi andrew check out http drivenc gov for the latest traffic condition including road closure,1
1880,2018-09-21 17:26:03,i 40 there is no safe reliable route to wilmington a main route are flooded and the cape fear river won t crest until sometime this weekend washed out road and bridge are a threat you should expect traffic if attempting to travel #florencenc pic twitter com ktmhfemhjk,1
1885,2018-09-21 14:12:17,u 74 is impassable and so is i 95 in southeastern n c there is no safe highway we can recommend to wilmington right now that it is not flooded or at risk of being flooded,1
1890,2018-09-21 13:49:55,there are no weather related closure on i 85 check http drivenc gov for the latest traffic condition and known road closure in nc it s the most accurate and up to date resource we have for you you may want to check the condition in sc by calling 855 go scdot,1
1894,2018-09-21 00:39:18,at this time no safe stable or reliable route exists for the public to get to and from wilmington it s best to keep an eye on http drivenc gov for the latest road condition and closure,1
1899,2018-09-20 20:21:47,you can visit http drivenc gov for information about road closure and the specfic route you are looking for please be safe,1
1903,2018-09-20 19:45:02,u 421 at the new hanover county line ha been closed due to rising water there is not a safe stable and reliable route in to wilmington at this time visit http drivenc gov or call 511 for travel info #florencenc pic twitter com znyoxw5opn,1
1906,2018-09-20 18:42:09,gps navigation company may not be able to keep up with all of the constantly changing closure and driver may not be able to completely rely on navigator during an emergency if travel is mandatory please use this link for real time information http tims ncdot gov tims,1
1908,2018-09-20 18:40:33,hey skylar we are urging driver if they are in a safe place right now stay put many road that have been passable could have flooded again and are far too dangerous for travel check out this #florencenc webpage with faq http bit ly 2mbcfpl #ncdot #tadd,1
